"rule_group","indicator","level_or_case","score_or_value","model_application","notes"
"profile_risk","画像风险","低","25","对应风险维度的数值分","低风险表示该维度不是该类人群的主要障碍。"
"profile_risk","画像风险","中","50","对应风险维度的数值分","中风险表示需要纳入方案，但不是首要矛盾。"
"profile_risk","画像风险","高","75","对应风险维度的数值分","高风险表示应设置针对性措施。"
"profile_risk","画像风险","极高","95","对应风险维度的数值分","极高风险表示该维度是画像的首要矛盾。"
"failure_coverage","失败因素覆盖","未覆盖","0","该方案未设置对应措施","例如下班有氧强化型不直接设置减少甜食油炸快餐措施。"
"failure_coverage","失败因素覆盖","间接覆盖","0.5","该方案有辅助措施但不是主措施","例如能量控制与饮食记录型保留指南下限运动，对活动不足构成间接覆盖。"
"failure_coverage","失败因素覆盖","直接覆盖","1","该方案把该因素作为明确主措施","例如最小时间监测型明确设置每日体重和饮食简记，对监测不足直接覆盖。"
"feasibility","时间负担扣分","连续公式","max(0,time_burden_min_day-30)×(0.20+0.35×time_constraint/100)","时间越长且画像时间受限越高，扣分越大","避免用固定人工分档直接填分。"
"persistence","长期坚持性","监测频率","0-20","每周监测天数换算","监测越规律，反馈纠偏越及时。"
"persistence","长期坚持性","睡眠与饮食结构","0-30","由睡眠措施和饮食结构得分换算","用于体现稳定作息与食物结构对长期坚持的支持。"
"safety_gate","指南范围初筛","膳食能量摄入削减量","500-1000 kcal/day","不符合则不进入 TOPSIS","依据 S01、S03；不等同于个体安全评估。"
"safety_gate","指南范围初筛","中等强度有氧","150-300 min/week","不符合则不进入 TOPSIS","依据 S01、S03、S05。"
"safety_gate","指南范围初筛","抗阻训练","2-3 day/week","不符合则不进入 TOPSIS","依据 S01、S03。"
"safety_gate","指南范围初筛","睡眠目标","不少于7 hour/day","不符合则不进入 TOPSIS","依据 S03；夜班人群按固定睡眠窗口完成。"
"profile_match","画像匹配度","综合公式","0-100","按画像风险与方案行动强度的加权匹配计算","分子由久坐风险×活动覆盖、饮食风险×三项饮食覆盖均值、监测缺口×监测覆盖、睡眠风险×睡眠措施强度、时间受限×时间适配度相加；分母为五项画像风险之和。"
"profile_match","时间适配度","反向极差标准化","0-100","100×(候选集中最大时间负担-本方案时间负担)/(最大时间负担-最小时间负担)","只使用15套现有候选方案的 time_burden_min_day；负担越低，适配度越高。"
"profile_match","压力风险处理","不单列匹配项","现有规则","继续通过可执行性和长期坚持性中的压力扣分体现","避免新增缺乏来源支撑的压力行动参数。"
"candidate_design","画像针对性方案","执行细节","专家规则细化","在指南安全范围内设置餐次、碎片运动、应酬管理和记录方式","这些执行细节不是指南原文定量参数，不改变能量、运动、抗阻和睡眠硬约束。"
"topsis","六指标权重","效果/可执行性/坚持性/覆盖度/画像匹配/时间负担","0.18/0.22/0.18/0.15/0.20/0.07","指南范围初筛通过后进入 TOPSIS","前五项为收益型，时间负担为成本型，权重和为1。"
"sensitivity","权重敏感性","单项权重扰动","80%或120%","其余权重归一化后重算 TOPSIS","对 6 个保留 TOPSIS 指标分别扰动，每类12个情景、共60个情景。"
"sensitivity","权重敏感性","其余权重重分配","按原相对比例","被扰动项固定为基准权重的80%或120%，其余项按原相对比例分配剩余权重","保证“上下浮动20%”可直接复核且各次权重和为1。"
"feasibility","可执行性","连续评分公式","84-时间负担扣分-压力风险扣分+睡眠匹配+监测反馈","将时间、睡眠、压力和监测频率统一换算为0-100分","评分后截断到0-100；画像匹配另设独立指标，避免重复计算。"
"persistence","长期坚持性","连续评分公式","48+监测频率贡献+睡眠措施贡献+饮食结构贡献-高时间负担扣分-压力风险扣分","将监测、作息、食物结构和执行负担统一换算为0-100分","评分后截断到0-100；全部公式可在 build_q3_plans.m 中复核。"
