"parameter_id","parameter_name","value","unit","source_id","evidence_location","model_use","model_field","is_hard_constraint","notes"
"P01","中国成人超重 BMI 下限","24.0","kg/m^2","S01;S03","S01 附表1；S03 附录5","用于判定对象属于超重或肥胖人群","bmi_overweight_min","yes","成人 BMI 24.0<=BMI<28.0 为超重。"
"P02","中国成人肥胖 BMI 下限","28.0","kg/m^2","S01;S03","S01 附表1；S03 附录5","用于定义本题肥胖人员","bmi_obesity_min","yes","成人 BMI>=28.0 为肥胖。"
"P03","模型基准体重","90","kg","S01;S03","由成人肥胖情境设定，非指南固定值","用于把百分比减重目标换算为 kg","baseline_weight_kg","no","主观设定：代表 BMI 约 31 的成人肥胖者，便于方案比较。"
"P04","阶段性减重周期下限","3","month","S01","三、超重肥胖的干预和治疗","用于设置短期管理窗口","weight_loss_period_min_month","yes","指南提出按 3 至 6 个月划分阶段性减重目标。"
"P05","阶段性减重周期上限","6","month","S01;S03","S01 三、超重肥胖的干预和治疗；S03 六、安全减重","本模型统一采用 6 个月窗口","weight_loss_period_month","yes","6 个月更适合比较典型生活方式方案的坚持性。"
"P06","6 个月理想减重比例下限","5","percent","S01;S03","S01 阶段性目标；S03 六、安全减重","作为有效减重下限","target_loss_pct_min","yes","S03 写明 6 个月减少当前体重 5%-10% 较理想。"
"P07","6 个月理想减重比例上限","10","percent","S01;S03","S01 阶段性目标；S03 六、安全减重","作为安全减重上限","target_loss_pct_max","yes","模型将超过 10% 的额外减重收益封顶，避免鼓励过快减重。"
"P08","每日膳食能量摄入削减量下限","500","kcal/day","S01;S03","S01 饮食干预；S03 控制总能量摄入","候选饮食方案范围初筛","energy_deficit_min_kcal_day","yes","指南建议每日膳食摄入减少 500-1000 千卡。"
"P09","每日膳食能量摄入削减量上限","1000","kcal/day","S01;S03","S01 饮食干预；S03 控制总能量摄入","候选饮食方案范围初筛","energy_deficit_max_kcal_day","yes","方案不设计超过该范围的膳食摄入削减量。"
"P10","男性限能量平衡膳食下限","1200","kcal/day","S03","控制总能量摄入","未进入当前初筛的安全性参考","male_energy_intake_min","no","当前模型缺少个体实际总摄入量，仅作参考，实际个体需专业评估。"
"P11","男性限能量平衡膳食上限","1500","kcal/day","S03","控制总能量摄入","未进入当前初筛的安全性参考","male_energy_intake_max","no","当前模型缺少个体实际总摄入量，仅作参考。"
"P12","女性限能量平衡膳食下限","1000","kcal/day","S03","控制总能量摄入","未进入当前初筛的安全性参考","female_energy_intake_min","no","当前模型缺少个体实际总摄入量，仅作参考，实际个体需专业评估。"
"P13","女性限能量平衡膳食上限","1200","kcal/day","S03","控制总能量摄入","未进入当前初筛的安全性参考","female_energy_intake_max","no","当前模型缺少个体实际总摄入量，仅作参考。"
"P14","每周中等强度有氧运动下限","150","min/week","S01;S03;S05","S01 运动干预；S03 多动少静；S05 中国人群身体活动指南","运动方案硬约束","aerobic_min_week_min","yes","作为最低建议量。"
"P15","每周中等强度有氧运动上限","300","min/week","S03;S05","S03 多动少静；S05 中国人群身体活动指南","运动方案上限参考","aerobic_min_week_max","yes","作为较高但仍保守的建议量。"
"P16","每周抗阻训练下限","2","day/week","S01;S03","S01 运动干预；S03 多动少静","保持肌肉量与提高安全性","strength_days_min","yes","S03 建议每周 2-3 天抗阻运动。"
"P17","每周抗阻训练上限","3","day/week","S01;S03","S01 运动干预；S03 多动少静","保持肌肉量与提高安全性","strength_days_max","yes","候选方案不超过 3 天。"
"P18","每次抗阻训练建议时长下限","10","min/session","S03","多动少静，睡眠充足，作息规律","估计时间负担","strength_minutes_session_min","no","用于计算执行负担。"
"P19","每次抗阻训练建议时长上限","20","min/session","S03","多动少静，睡眠充足，作息规律","估计时间负担","strength_minutes_session_max","no","用于计算执行负担。"
"P20","建议睡眠时长","7","hour/day","S01;S03","S01 特殊人群睡眠管理；S03 多动少静","夜班熬夜型和高压型画像约束","sleep_hours_target","yes","S03 建议每日 7 小时左右睡眠。"
"P21","蔬菜摄入建议下限","300","g/day","S03;S04","S03 附录1；S04 平衡膳食八准则","饮食失衡和覆盖度指标依据","vegetable_min_g_day","yes","S03 建议减重人群保证新鲜蔬菜 300-500g。"
"P22","蔬菜摄入建议上限","500","g/day","S03;S04","S03 附录1；S04 平衡膳食八准则","饮食失衡和覆盖度指标依据","vegetable_max_g_day","no","作为提高果蔬摄入的目标范围。"
"P23","全谷物和杂豆建议下限","50","g/day","S03;S04","S03 附录1","饮食结构优化依据","whole_grain_min_g_day","no","用于食养方案描述和饮食覆盖度。"
"P24","全谷物和杂豆建议上限","150","g/day","S03;S04","S03 附录1","饮食结构优化依据","whole_grain_max_g_day","no","用于食养方案描述。"
"P25","坚果建议下限","50","g/week","S03","附录1 成人肥胖患者的食物选择","饮食结构补充","nuts_min_g_week","no","用于饮食方案描述。"
"P26","坚果建议上限","70","g/week","S03","附录1 成人肥胖患者的食物选择","饮食结构补充","nuts_max_g_week","no","坚果能量需计入总能量。"
"P27","模型默认减重能量折算","7700","kcal/kg","expert_rule","常用体重管理估算，非单一指南固定值","把能量缺口粗略换算为体重变化","kcal_per_kg_weight_loss","no","主观保守估计，仅用于方案相对比较。"
"P28","TOPSIS 权重-减重效果","0.18","weight","expert_rule","安全门槛筛选后进行综合评价","TOPSIS 指标权重","weight_effect","no","减重效果重要，但不作为临床预测。"
"P29","指南范围初筛启用","1","boolean","S01;S02;S03","生活方式干预和安全减重原则","先筛除超出四项范围的候选方案","safety_gate_enabled","yes","膳食摄入削减量、有氧、抗阻和睡眠目标必须通过；该初筛不等同于个体安全评估。"
"P30","TOPSIS 权重-可执行性","0.22","weight","S01;S03;S06","长期坚持、随访、体重管理年行动","TOPSIS 指标权重","weight_feasibility","no","强调方案在真实工作生活条件下的执行难度。"
"P31","TOPSIS 权重-长期坚持性","0.18","weight","S01;S03","长期随访、兴趣培养、循序渐进","TOPSIS 指标权重","weight_persistence","no","避免只追求短期冲刺。"
"P32","TOPSIS 权重-失败因素覆盖度","0.15","weight","problem2_result;S01;S03","承接问题二前五失败因素","TOPSIS 指标权重","weight_failure_coverage","no","覆盖度保留但不再奖励大而全方案形成近似支配。"
"P33","TOPSIS 权重-时间成本","0.07","weight","expert_rule","典型工作生活方式对时间高度敏感","TOPSIS 指标权重","weight_time_burden","no","该指标为成本型，数值越低越好。"
"P34","方案数量","15","count","problem_design","5 类人群 x 3 类画像针对性方案","控制 MATLAB 结果规模","plan_count","no","删除通用综合平衡型，每类画像设置 3 套不同优先干预方案。"
"P35","典型画像数量","5","count","problem_design","题目要求几种典型工作生活方式","控制 MATLAB 结果规模","profile_count","no","专家规则画像，不使用 K-means。"
"P36","TOPSIS 权重-画像匹配度","0.20","weight","expert_rule;problem_design","由现有画像风险、覆盖度、睡眠措施和时间负担计算","TOPSIS 指标权重","weight_profile_match","no","只复用现有数据计算；用于衡量方案是否优先修正该画像的主要障碍。"
