"source_id","publisher","title","year","official_url_or_doi","purpose_in_paper","page_or_section","local_archive_file","entered_model_parameters","notes"
"S01","国家卫生健康委","体重管理指导原则（2024年版）","2024","https://www.nhc.gov.cn/ylyjs/zcwj/202412/75cb79c171c94def9e768193e65484f7/files/1736390749000_59785.pdf","确定成人 BMI 分级、减重周期、能量缺口、运动与自我监测约束","一、体重分类和肥胖诊断；三、超重肥胖的干预和治疗；附表1、附表9","D:\数学建模\数据来源\q3\S01_体重管理指导原则2024_NHC.pdf","yes","作为中国模型主依据之一。"
"S02","国家卫生健康委","肥胖症诊疗指南（2024年版）","2024","https://www.nhc.gov.cn/cms-search/downFiles/d62bf58fae134eaf84c4fb77d6762a08.pdf","补充肥胖症诊疗和医学安全边界，提醒本题只做生活方式方案而非药物/手术方案","诊断评估、生活方式干预、药物和手术适应证相关章节","D:\数学建模\数据来源\q3\S02_肥胖症诊疗指南2024_NHC.pdf","yes","PDF 已归档；正文写作时用于安全性说明和不推荐自行用药/手术。"
"S03","国家卫生健康委","成人肥胖食养指南（2024年版）","2024","https://www.nhc.gov.cn/sps/c100088/202402/9ba512ba8e314a47a181db11d2fa188d/files/1743476136267_20714.pdf","确定成人肥胖饮食干预、能量控制、运动时间、睡眠、监测和食物选择参数","正文第1-3部分；六、安全减重；附录1、附录5","D:\数学建模\数据来源\q3\S03_成人肥胖食养指南2024_NHC.pdf","yes","作为饮食和生活方式参数主依据。"
"S04","中国营养学会","中国居民膳食指南（2022）平衡膳食八准则","2022","https://dg.cnsoc.org/article/04/J4-AsD_DR3OLQMnHG0-jZA.html","补充平衡膳食、少油少盐、控糖限酒、足量饮水与会烹会选原则","平衡膳食八准则网页","D:\数学建模\数据来源\q3\S04_中国居民膳食指南2022_平衡膳食八准则_CNSOC.html","yes","中国营养学会官方指南网页，作为膳食结构和饮食失衡画像依据。"
"S05","《中国人群身体活动指南》编写委员会","中国人群身体活动指南（2021）","2021","https://doi.org/10.11847/zgggws1137503","补充中国成年人身体活动和减少久坐依据","中国公共卫生 2022, 38(2):129-130","D:\数学建模\数据来源\q3\S05c_中国人群身体活动指南2021_中国公共卫生_PDF.pdf","yes","该指南由中国疾控中心等组织编写，网页元数据已另存 S05b。"
"S05_META","中国公共卫生","中国人群身体活动指南（2021）网页元数据","2022","https://www.zgggws.com/article/doi/10.11847/zgggws1137503","记录 DOI、作者、期刊、页码等来源信息","网页 citation 元数据","D:\数学建模\数据来源\q3\S05b_中国人群身体活动指南2021_中国公共卫生_DOI.html","no","用于核对 S05 的 DOI 和文献信息。"
"S05_NOTE","科信食品与健康信息交流中心","《中国人群身体活动指南（2021）》发布解读","2021","https://www.kexinzhongxin.com/html/huodong/4625.html","补充指南发布背景和公众传播版本","网页全文","D:\数学建模\数据来源\q3\S05_中国人群身体活动指南2021_发布解读_科信食品与健康信息交流中心.html","no","仅作背景补充，不作为主参数。"
"S06","国家卫生健康委等部门","关于印发“体重管理年”活动实施方案的通知","2024","https://www.nhc.gov.cn/wjw/c100375/202406/8378b85fd06a4b61b969d791783ca3ff.shtml","说明体重管理已成为国家行动，支持监测、科普和综合干预的必要性","国家卫生健康委员会公报 2024 年第 6 期，体重管理年活动实施方案","D:\数学建模\数据来源\q3\S06e_国家卫生健康委员会公报2024第6期_含体重管理年方案.pdf","yes","原 NHC HTML 存在反爬空壳页；本地采用国家卫生健康委员会公报 PDF 作为可读官方归档，同时另存中国政府网转载 HTML。"
"S06_GOV","中国政府网/国家卫生健康委","关于印发“体重管理年”活动实施方案的通知","2024","https://www.gov.cn/zhengce/zhengceku/202406/content_6959543.htm","补充体重管理年活动实施方案可读网页归档","政策库网页全文","D:\数学建模\数据来源\q3\S06c_体重管理年活动实施方案_中国政府网.html","no","用于核对 S06；不单独进入模型参数。"
"S07","国家卫生健康委/健康中国行动推进委员会","健康中国行动（2019-2030年）","2019","https://www.nhc.gov.cn/guihuaxxs/c100133/201907/2a6ed52f1c264203b5351bdbbadd2da8/files/1734002262800_66115.pdf","说明合理膳食行动、全民健身行动和慢病预防的政策背景","合理膳食行动、全民健身行动、慢性病防治行动","D:\数学建模\数据来源\q3\S07c_健康中国行动2019-2030_NHC.pdf","yes","国家卫健委 PDF 可读归档；早先中国政府网旧链接已失效，未作为依据。"
"S07B","国务院","国务院关于实施健康中国行动的意见","2019","https://www.gov.cn/zhengce/content/2019-07/15/content_5409492.htm","补充健康中国行动的国务院政策依据","全文","D:\数学建模\数据来源\q3\S07b_国务院关于实施健康中国行动的意见_中国政府网.html","no","政策性补充来源。"
"S08","World Health Organization","Physical activity fact sheet","2024","https://www.who.int/news-room/fact-sheets/detail/physical-activity","国际补充：成年人身体活动建议和久坐风险","Adults and older adults section","D:\数学建模\数据来源\q3\S08_WHO_physical_activity_fact_sheet.html","no","仅作为国际补充，不作为中国模型主参数。"
"S09","World Health Organization","Obesity and overweight fact sheet","2025","https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight","国际补充：肥胖定义、危害和全球背景","Fact sheet main text","D:\数学建模\数据来源\q3\S09_WHO_obesity_overweight_fact_sheet.html","no","仅作为国际补充，不作为中国模型主参数。"
