exclusion_id,factor_cn,factor_en,source_id,source_location,original_evidence,exclusion_reason,analysis_treatment
X01,年龄,Age,S01,Table 5,"11项研究；81.8%无显著预测作用；Strong","人口学特征不是可干预的同口径减重维持因素，且综述显示多数无效","不进入排序；可在局限或个体差异中说明"
X02,性别,Sex or gender,S01,Table 5,"15项研究；78.5%无显著预测作用；Strong","人口学特征不可干预且多数研究无显著预测作用","不进入排序"
X03,种族或族群,Ethnicity or race,S01,Table 5,"5项研究；71.4%无显著预测作用；Strong","不同国家人群不可直接混排，且不属于可干预维持行为","不进入排序"
X04,社会经济地位,Socioeconomic status,S01,Table 5,"5项研究；100%无显著预测作用；Strong","原综述未支持其直接预测长期维持","不进入排序；中国情境中定性讨论可及性"
X05,一般社会支持,General social support,S01,Table 8,"3项研究；正向无效负向各33.3%；Insufficient","主综述方向不一致，不能与15项稳定因素同口径排序","使用依从性Meta分析作机制补充"
X06,家庭不支持,Family discouragement,S01,Table 8,"1项研究；100%负向；Insufficient","仅1项研究，证据不足","单独机制分析，不进入排序"
X07,基线体力活动,Baseline physical activity,S01,Table 6,"3项研究；100%无显著预测；Moderate","应关注随访期行为改变而非基线水平","不进入排序"
X08,基线能量摄入,Baseline energy intake,S01,Table 6,"6项研究；66.7%无显著预测；Insufficient","基线值与后续改变不是同一指标","不进入排序"
X09,心理压力,Psychological stress,S01,Table 7,"2项研究；100%无显著预测；Strong","对维持的直接证据不支持，但可能通过退出或情绪进食间接作用","机制分析，不进入排序"
X10,抑郁或负性情绪,Depressive symptoms or negative mood,S01,Table 7,"3项研究；66.7%无效、33.3%负向；Insufficient","方向不稳定且可能与疾病和退出混杂","作为医学心理筛查项"
X11,疾病妊娠和身体限制,Illness pregnancy and physical limitations,S03,Table 4,"6篇研究报告为退出原因","属于个体医学限制，不能与15项行为心理因素用同一证据矩阵比较","单独分析和医学筛查"
X12,生理代偿,Physiological compensation,S04,Paragraphs P2 and P11,"能量消耗下降、食欲增强和长期反弹","普遍机制但缺少15因素同口径的研究数与证据等级","单独作为长期反弹放大机制"
X13,中国医患管理障碍,China obesity-care barriers,S05,PubMed abstract,"ACTION-China横断面调查","结局是肥胖管理认知与沟通，不是减重维持成功率","中国情境补充，不进入TOPSIS"
